Feature ID	Taxon	Confidence
AB690713.1.1358	Unassigned	0.0
HE818689.1.1327	Unassigned	0.0
FJ004697.1.1373	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6	1.0
EU731895.1.1231	Unassigned	0.0
JN178286.1.1551	Unassigned	0.0
EU050844.1.1474	Unassigned	0.0
JX224663.1.1274	Unassigned	0.0
AY861905.1.980	D_0__Archaea;D_1__Candidate division YNPFFA	1.0
JQ798460.1.1447	Unassigned	0.0
JX223644.1.1489	Unassigned	0.0
DQ103684.1.1409	Unassigned	0.0
AB237746.1.1412	Unassigned	0.0
KF741428.1.1523	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfarculales;D_4__Desulfarculaceae;D_5__Desulfatiglans;D_6__uncultured bacterium	1.0
GQ263706.1.1489	Unassigned	0.0
EU469201.1.1284	Unassigned	0.0
AB267267.1.1486	Unassigned	0.0
JN579965.1.1567	Unassigned	0.0
AB536951.1.1373	Unassigned	0.0
LN828718.207679.209186	Unassigned	0.0
AB074606.1.1320	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Dysgonomonas	1.0
JN472642.1.1351	Unassigned	0.0
FJ716463.1.1516	Unassigned	0.0
KJ176719.1.1412	Unassigned	0.0
HM778408.1.1418	Unassigned	0.0
JX225249.1.1569	Unassigned	0.0
JX096224.1.1386	Unassigned	0.0
AM902611.1.1479	Unassigned	0.0
EU456373.1.1406	Unassigned	0.0
LCLF01000035.7095.8587	D_0__Bacteria;D_1__Parcubacteria	1.0
FJ671970.1.1400	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Proteiniphilum;D_6__uncultured bacterium	1.0
FJ485065.1.1432	Unassigned	0.0
AB722140.1.1404	Unassigned	0.0
DQ640714.1.1453	Unassigned	0.0
GU127428.1.920	Unassigned	0.0
HM126715.1.1459	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes Incertae Sedis;D_3__Order III;D_4__Unknown Family;D_5__Fodinibius;D_6__Fodinibius salinus	1.0
AB252949.1.1524	D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured bacterium;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	1.0
EU117059.1.1200	Unassigned	0.0
EU373992.1.1512	Unassigned	0.0
U47845.1.1418	Unassigned	0.0
HM217073.1.1424	D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;D_3__SubsectionIII;D_4__FamilyI	1.0
KJ479569.1.1529	Unassigned	0.0
KJ192050.1.1454	Unassigned	0.0
FJ719695.1.1403	Unassigned	0.0
AATE01000163.205.1482	Unassigned	0.0
JX225935.1.1526	Unassigned	0.0
HM108641.1.1494	Unassigned	0.0
EU471929.1.1361	Unassigned	0.0
AF507903.1.1360	Unassigned	0.0
AF407710.1.1564	Unassigned	0.0
HM066562.9.1542	Unassigned	0.0
KP278040.1.1434	Unassigned	0.0
KC554226.1.1517	Unassigned	0.0
LN564836.1.1355	Unassigned	0.0
EU050879.1.1432	Unassigned	0.0
EU135050.1.1408	Unassigned	0.0
KP993220.1.1449	Unassigned	0.0
FJ468486.1.1478	Unassigned	0.0
JQ515715.1.1523	Unassigned	0.0
EU250235.1.1378	Unassigned	0.0
DQ396125.1.1501	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Halomonadaceae;D_5__Halomonas	1.0
GCVF01000095.109.1595	D_0__Bacteria;D_1__Bacteroidetes;D_2__Cytophagia;D_3__Cytophagales;D_4__Flammeovirgaceae;D_5__Roseivirga	1.0
FJ484759.1.1244	Unassigned	0.0
GQ116311.1.1374	Unassigned	0.0
FJ681296.1.1391	Unassigned	0.0
HM842341.1.1382	Unassigned	0.0
KC763871.1.1348	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	1.0
KP745052.1.1451	Unassigned	0.0
EU791160.1.1507	Unassigned	0.0
EU375071.1.1203	Unassigned	0.0
AB600446.1.1528	Unassigned	0.0
GQ263463.1.1482	Unassigned	0.0
KF180122.1.1486	Unassigned	0.0
JN430448.1.1348	Unassigned	0.0
JN229979.1.1511	Unassigned	0.0
AB355108.1.928	D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Thermoplasmatales;D_4__Marine Benthic Group D and DHVEG-1;D_5__uncultured archaeon;D_6__uncultured archaeon	1.0
EU750699.1.1434	Unassigned	0.0
JX193308.1.1546	Unassigned	0.0
EU487925.1.1498	Unassigned	0.0
JN428921.1.1344	D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Falkowbacteria;D_3__uncultured organism;D_4__uncultured organism;D_5__uncultured organism;D_6__uncultured organism	1.0
EU864467.1.1485	Unassigned	0.0
FQ659119.1.1383	Unassigned	0.0
EU777276.1.1273	Unassigned	0.0
CXWK01087191.408.1893	Unassigned	0.0
KR779706.1.1364	Unassigned	0.0
JN591870.1.1509	Unassigned	0.0
EU503911.1.1405	Unassigned	0.0
LNRQ01000001.16944500.16945970	Unassigned	0.0
GQ263605.1.1460	Unassigned	0.0
EU134517.1.1365	Unassigned	0.0
EU451678.1.1395	Unassigned	0.0
DQ795153.1.1390	Unassigned	0.0
HM128188.1.1480	Unassigned	0.0
AF316764.1.1484	Unassigned	0.0
JN178472.1.1497	Unassigned	0.0
JX225081.1.1497	Unassigned	0.0
KF827404.1.1400	Unassigned	0.0
JN662332.1.1416	Unassigned	0.0
AJ488097.1.1484	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes VC2.1 Bac22;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	1.0
AF352386.1.1506	Unassigned	0.0
AB630887.1.1448	Unassigned	0.0
CT573529.2.1350	Unassigned	0.0
AY991330.1.1292	Unassigned	0.0
KJ650734.1.1545	Unassigned	0.0
GQ302532.1.1448	Unassigned	0.0
JQ072304.1.1335	Unassigned	0.0
KF071413.1.1362	Unassigned	0.0
JF104846.1.1367	Unassigned	0.0
FN428764.1.1453	Unassigned	0.0
EU471650.1.1422	Unassigned	0.0
CU917965.1.1402	Unassigned	0.0
AB991225.1.1450	Unassigned	0.0
JN433349.1.1324	Unassigned	0.0
GQ038528.1.1362	Unassigned	0.0
JQ311887.1.1424	Unassigned	0.0
CU917574.1.1306	Unassigned	0.0
LBWN01000003.18421.20469	Unassigned	0.0
CU925295.1.1332	Unassigned	0.0
FJ901652.1.1341	Unassigned	0.0
FJ005062.1.1458	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas	1.0
AM991240.1.1475	Unassigned	0.0
AB354627.1.1374	Unassigned	0.0
JF495370.1.1496	Unassigned	0.0
GQ347186.1.1381	Unassigned	0.0
AM279193.8.1407	D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__uncultured;Ambiguous_taxa	1.0
JN869069.1.1564	Unassigned	0.0
GQ402095.1.1545	Unassigned	0.0
KP210098.1.1439	Unassigned	0.0
ASKW01000012.8631.10171	Unassigned	0.0
AB740359.1.1447	Unassigned	0.0
KT308475.1.1410	Unassigned	0.0
AB255915.1.1388	Unassigned	0.0
JX223844.1.1491	Unassigned	0.0
LN999057.49851.51389	D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Burkholderiaceae;D_5__Candidatus Tremblaya;D_6__Candidatus Tremblaya princeps	1.0
EU245290.1.1511	Unassigned	0.0
DQ269103.1.1392	Unassigned	0.0
AF234130.1.1315	Unassigned	0.0
KF101265.1.1366	Unassigned	0.0
JQ957817.1.1380	Unassigned	0.0
